                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                  2.489,                 3.2061,                 2.9919,                 3.2465,                 0.2949,                0.25937,                0.30606,                0.13266,                0.32097,                0.26966,                0.31504,                 0.1302,                 2.1311,                 3.2255,                 2.7573,                  3.083,               0.001327,               0.001327,               0.001327
                    106,                 2.5993,                 3.4901,                  3.224,                 3.4281,                 0.2949,                0.25937,                0.30606,                0.13266,                0.32097,                0.26966,                0.31504,                 0.1302,                 2.1311,                 3.2255,                 2.7573,                  3.083,              0.0013237,              0.0013237,              0.0013237
                    107,                 2.5372,                 3.2804,                 3.0193,                 3.3516,                 0.2949,                0.25937,                0.30606,                0.13266,                0.32097,                0.26966,                0.31504,                 0.1302,                 2.1311,                 3.2255,                 2.7573,                  3.083,              0.0013204,              0.0013204,              0.0013204
                    108,                  2.511,                 3.0545,                 3.2727,                 3.3332,                 0.3049,                0.43481,                 0.2976,                0.12173,                0.29424,                0.41269,                0.30334,                0.11271,                 2.1084,                 3.1828,                 2.6231,                 3.0631,              0.0013171,              0.0013171,              0.0013171
                    109,                 2.5452,                 3.2218,                 3.0553,                 3.3529,                 0.3049,                0.43481,                 0.2976,                0.12173,                0.29424,                0.41269,                0.30334,                0.11271,                 2.1084,                 3.1828,                 2.6231,                 3.0631,              0.0013138,              0.0013138,              0.0013138
                    110,                 2.6393,                 3.1827,                 2.9618,                 3.3269,                 0.3049,                0.43481,                 0.2976,                0.12173,                0.29424,                0.41269,                0.30334,                0.11271,                 2.1084,                 3.1828,                 2.6231,                 3.0631,              0.0013105,              0.0013105,              0.0013105
                    111,                 2.2978,                 3.2397,                 3.0716,                 3.1971,                 0.3184,                0.48846,                0.31025,                0.13305,                0.30806,                0.47473,                0.33626,                0.13615,                   2.13,                 3.0891,                 2.6186,                 3.0222,              0.0013072,              0.0013072,              0.0013072
                    112,                 2.5989,                 3.4409,                 2.9894,                 3.3246,                 0.3184,                0.48846,                0.31025,                0.13305,                0.30806,                0.47473,                0.33626,                0.13615,                   2.13,                 3.0891,                 2.6186,                 3.0222,              0.0013039,              0.0013039,              0.0013039
                    113,                 2.6946,                 3.1734,                 3.1365,                 3.3603,                 0.3184,                0.48846,                0.31025,                0.13305,                0.30806,                0.47473,                0.33626,                0.13615,                   2.13,                 3.0891,                 2.6186,                 3.0222,              0.0013006,              0.0013006,              0.0013006
                    114,                 2.4992,                 3.0681,                  2.949,                 3.2514,                0.34392,                0.44965,                0.32945,                 0.1475,                0.36677,                0.44034,                0.35389,                0.16206,                 2.1296,                 3.0382,                 2.6215,                 2.9944,              0.0012973,              0.0012973,              0.0012973
                    115,                 2.6721,                 3.3415,                  3.063,                 3.3265,                0.34392,                0.44965,                0.32945,                 0.1475,                0.36677,                0.44034,                0.35389,                0.16206,                 2.1296,                 3.0382,                 2.6215,                 2.9944,               0.001294,               0.001294,               0.001294
                    116,                 2.5121,                 3.0773,                 3.1105,                 3.2963,                0.34392,                0.44965,                0.32945,                 0.1475,                0.36677,                0.44034,                0.35389,                0.16206,                 2.1296,                 3.0382,                 2.6215,                 2.9944,              0.0012907,              0.0012907,              0.0012907
                    117,                 2.6074,                 3.3169,                 3.0139,                 3.2764,                0.43327,                0.35018,                0.36265,                0.15433,                  0.437,                0.35518,                0.37584,                0.18018,                 2.1692,                 3.0203,                 2.5858,                 2.9914,              0.0012874,              0.0012874,              0.0012874
                    118,                 2.5841,                 3.2121,                  2.871,                 3.2209,                0.43327,                0.35018,                0.36265,                0.15433,                  0.437,                0.35518,                0.37584,                0.18018,                 2.1692,                 3.0203,                 2.5858,                 2.9914,              0.0012841,              0.0012841,              0.0012841
                    119,                 2.4686,                 3.3457,                 2.9048,                 3.1806,                0.43327,                0.35018,                0.36265,                0.15433,                  0.437,                0.35518,                0.37584,                0.18018,                 2.1692,                 3.0203,                 2.5858,                 2.9914,              0.0012808,              0.0012808,              0.0012808
                    120,                 2.5846,                 3.4131,                  2.987,                 3.3006,                0.43041,                0.37138,                0.41601,                0.16421,                0.46319,                0.37777,                0.41489,                0.19785,                 2.1987,                 3.0425,                  2.621,                 2.9941,              0.0012775,              0.0012775,              0.0012775
                    121,                 2.6979,                 3.4079,                  3.128,                 3.3808,                0.43041,                0.37138,                0.41601,                0.16421,                0.46319,                0.37777,                0.41489,                0.19785,                 2.1987,                 3.0425,                  2.621,                 2.9941,              0.0012742,              0.0012742,              0.0012742
                    122,                 2.5369,                 3.1814,                 3.0957,                 3.3402,                0.49766,                 0.3935,                0.42903,                0.16792,                0.50766,                0.40586,                0.43014,                 0.1846,                 2.1553,                  2.952,                 2.4936,                 3.0093,              0.0012709,              0.0012709,              0.0012709
                    123,                  2.535,                 3.1203,                 2.9363,                 3.2484,                0.49766,                 0.3935,                0.42903,                0.16792,                0.50766,                0.40586,                0.43014,                 0.1846,                 2.1553,                  2.952,                 2.4936,                 3.0093,              0.0012676,              0.0012676,              0.0012676
                    124,                 2.5998,                 3.1862,                  2.921,                 3.2658,                0.49766,                 0.3935,                0.42903,                0.16792,                0.50766,                0.40586,                0.43014,                 0.1846,                 2.1553,                  2.952,                 2.4936,                 3.0093,              0.0012643,              0.0012643,              0.0012643
                    125,                  2.394,                 2.9228,                  2.889,                 3.1342,                0.42528,                0.34915,                0.38148,                0.15373,                0.39849,                 0.3882,                 0.3892,                0.16756,                 2.1301,                 2.8456,                 2.4745,                 3.0137,               0.001261,               0.001261,               0.001261
                    126,                 2.5887,                 2.9975,                 2.9665,                 3.2502,                0.42528,                0.34915,                0.38148,                0.15373,                0.39849,                 0.3882,                 0.3892,                0.16756,                 2.1301,                 2.8456,                 2.4745,                 3.0137,              0.0012577,              0.0012577,              0.0012577
                    127,                 2.5579,                 2.9733,                  2.933,                 3.2427,                0.42528,                0.34915,                0.38148,                0.15373,                0.39849,                 0.3882,                 0.3892,                0.16756,                 2.1301,                 2.8456,                 2.4745,                 3.0137,              0.0012544,              0.0012544,              0.0012544
                    128,                 2.4896,                 2.8864,                 2.9487,                 3.1913,                0.23176,                0.36915,                0.27208,                 0.1218,                0.36784,                0.23966,                0.29204,                 0.1328,                 2.0952,                 2.8222,                 2.6054,                 3.0463,              0.0012511,              0.0012511,              0.0012511
                    129,                 2.4731,                 2.9033,                  2.965,                 3.1741,                0.23176,                0.36915,                0.27208,                 0.1218,                0.36784,                0.23966,                0.29204,                 0.1328,                 2.0952,                 2.8222,                 2.6054,                 3.0463,              0.0012478,              0.0012478,              0.0012478
                    130,                 2.5643,                 3.0588,                 2.9088,                 3.2798,                0.23176,                0.36915,                0.27208,                 0.1218,                0.36784,                0.23966,                0.29204,                 0.1328,                 2.0952,                 2.8222,                 2.6054,                 3.0463,              0.0012445,              0.0012445,              0.0012445
                    131,                 2.4913,                 3.1626,                 2.9478,                 3.2032,                0.28123,                0.24004,                0.23574,                0.10922,                0.33635,                0.25356,                0.27156,                0.11262,                 2.0638,                 2.8232,                 2.7096,                 3.0241,              0.0012412,              0.0012412,              0.0012412
                    132,                 2.4131,                 3.0507,                 2.8513,                  3.167,                0.28123,                0.24004,                0.23574,                0.10922,                0.33635,                0.25356,                0.27156,                0.11262,                 2.0638,                 2.8232,                 2.7096,                 3.0241,              0.0012379,              0.0012379,              0.0012379
                    133,                 2.4866,                 3.2007,                 2.9551,                 3.1757,                0.28123,                0.24004,                0.23574,                0.10922,                0.33635,                0.25356,                0.27156,                0.11262,                 2.0638,                 2.8232,                 2.7096,                 3.0241,              0.0012346,              0.0012346,              0.0012346
                    134,                 2.3249,                 2.8034,                 2.7989,                 3.1166,                0.37572,                0.35548,                  0.352,                0.16597,                0.40912,                0.33786,                0.35822,                0.15226,                 2.0468,                 2.8561,                  2.524,                  2.974,              0.0012313,              0.0012313,              0.0012313
                    135,                 2.5809,                 3.1201,                 2.8915,                 3.3073,                0.37572,                0.35548,                  0.352,                0.16597,                0.40912,                0.33786,                0.35822,                0.15226,                 2.0468,                 2.8561,                  2.524,                  2.974,               0.001228,               0.001228,               0.001228
                    136,                 2.4251,                 3.0213,                 2.9412,                 3.2179,                0.37572,                0.35548,                  0.352,                0.16597,                0.40912,                0.33786,                0.35822,                0.15226,                 2.0468,                 2.8561,                  2.524,                  2.974,              0.0012247,              0.0012247,              0.0012247
                    137,                 2.4365,                 2.9888,                 2.9153,                 3.2593,                0.39208,                0.45415,                0.43519,                0.20082,                0.42727,                0.48467,                0.45525,                0.21025,                 2.0181,                 2.8958,                 2.6124,                 2.9318,              0.0012214,              0.0012214,              0.0012214
                    138,                 2.4836,                 2.8041,                 2.9185,                 3.1586,                0.39208,                0.45415,                0.43519,                0.20082,                0.42727,                0.48467,                0.45525,                0.21025,                 2.0181,                 2.8958,                 2.6124,                 2.9318,              0.0012181,              0.0012181,              0.0012181
                    139,                 2.4004,                 2.8478,                 2.9757,                 3.2139,                0.39208,                0.45415,                0.43519,                0.20082,                0.42727,                0.48467,                0.45525,                0.21025,                 2.0181,                 2.8958,                 2.6124,                 2.9318,              0.0012148,              0.0012148,              0.0012148
                    140,                  2.357,                 2.8979,                 2.6525,                 3.1355,                0.57901,                0.40555,                0.47786,                0.20249,                0.60989,                0.42723,                0.50474,                0.23555,                 2.0369,                 2.8895,                 2.5128,                  2.926,              0.0012115,              0.0012115,              0.0012115
                    141,                 2.4746,                 2.8052,                 2.6368,                 3.1605,                0.57901,                0.40555,                0.47786,                0.20249,                0.60989,                0.42723,                0.50474,                0.23555,                 2.0369,                 2.8895,                 2.5128,                  2.926,              0.0012082,              0.0012082,              0.0012082
                    142,                 2.5331,                 2.7986,                 2.7892,                 3.2274,                0.57901,                0.40555,                0.47786,                0.20249,                0.60989,                0.42723,                0.50474,                0.23555,                 2.0369,                 2.8895,                 2.5128,                  2.926,              0.0012049,              0.0012049,              0.0012049
                    143,                 2.5077,                 2.9349,                 2.7397,                 3.1684,                0.39166,                0.53768,                0.51086,                0.18758,                   0.68,                0.40534,                0.53925,                 0.2433,                 2.1209,                  2.883,                 2.4994,                 2.9422,              0.0012016,              0.0012016,              0.0012016
                    144,                 2.4955,                 2.8745,                 2.9795,                 3.2814,                0.39166,                0.53768,                0.51086,                0.18758,                   0.68,                0.40534,                0.53925,                 0.2433,                 2.1209,                  2.883,                 2.4994,                 2.9422,              0.0011983,              0.0011983,              0.0011983
                    145,                  2.439,                 3.1835,                 2.6394,                 3.1643,                0.39166,                0.53768,                0.51086,                0.18758,                   0.68,                0.40534,                0.53925,                 0.2433,                 2.1209,                  2.883,                 2.4994,                 2.9422,               0.001195,               0.001195,               0.001195
                    146,                 2.6019,                 3.3757,                  3.004,                 3.2911,                0.38542,                0.57838,                0.45668,                0.15562,                0.42175,                0.54306,                0.49004,                0.20977,                 2.1902,                 2.8475,                 2.6331,                 2.9778,              0.0011917,              0.0011917,              0.0011917
                    147,                 2.5067,                  3.156,                 2.9129,                 3.1633,                0.38542,                0.57838,                0.45668,                0.15562,                0.42175,                0.54306,                0.49004,                0.20977,                 2.1902,                 2.8475,                 2.6331,                 2.9778,              0.0011884,              0.0011884,              0.0011884
                    148,                 2.5261,                 3.1221,                 2.7582,                 3.2051,                0.38542,                0.57838,                0.45668,                0.15562,                0.42175,                0.54306,                0.49004,                0.20977,                 2.1902,                 2.8475,                 2.6331,                 2.9778,              0.0011851,              0.0011851,              0.0011851
                    149,                 2.4589,                  3.048,                 2.7673,                 3.1989,                 0.3262,                 0.4409,                 0.3752,                0.12818,                0.35222,                0.49512,                0.42896,                0.16587,                 2.1993,                 2.9144,                 2.5971,                 2.9889,              0.0011818,              0.0011818,              0.0011818
                    150,                 2.6751,                 3.1233,                 2.8785,                 3.1743,                 0.3262,                 0.4409,                 0.3752,                0.12818,                0.35222,                0.49512,                0.42896,                0.16587,                 2.1993,                 2.9144,                 2.5971,                 2.9889,              0.0011785,              0.0011785,              0.0011785
                    151,                 2.6424,                 3.0305,                 2.9288,                 3.2684,                 0.3262,                 0.4409,                 0.3752,                0.12818,                0.35222,                0.49512,                0.42896,                0.16587,                 2.1993,                 2.9144,                 2.5971,                 2.9889,              0.0011752,              0.0011752,              0.0011752
                    152,                 2.5397,                 3.1018,                 3.1133,                 3.2124,                0.35397,                0.44509,                 0.4098,                0.12601,                 0.3327,                0.43213,                0.40393,                0.13996,                 2.1565,                  3.151,                 2.5976,                 3.0027,              0.0011719,              0.0011719,              0.0011719
                    153,                 2.5915,                 3.0984,                 2.9413,                 3.2475,                0.35397,                0.44509,                 0.4098,                0.12601,                 0.3327,                0.43213,                0.40393,                0.13996,                 2.1565,                  3.151,                 2.5976,                 3.0027,              0.0011686,              0.0011686,              0.0011686
                    154,                   2.64,                 3.3182,                 2.8701,                 3.2254,                0.44316,                0.40632,                0.39827,                0.13651,                0.40763,                0.43181,                 0.4048,                0.12571,                 2.1379,                 2.9517,                 2.5438,                 3.0181,              0.0011653,              0.0011653,              0.0011653
                    155,                 2.6269,                 3.1387,                 3.1822,                 3.2653,                0.44316,                0.40632,                0.39827,                0.13651,                0.40763,                0.43181,                 0.4048,                0.12571,                 2.1379,                 2.9517,                 2.5438,                 3.0181,               0.001162,               0.001162,               0.001162
                    156,                 2.6902,                 3.3898,                 3.0789,                 3.3239,                0.44316,                0.40632,                0.39827,                0.13651,                0.40763,                0.43181,                 0.4048,                0.12571,                 2.1379,                 2.9517,                 2.5438,                 3.0181,              0.0011587,              0.0011587,              0.0011587
                    157,                 2.5919,                 3.0312,                  3.074,                 3.2581,                0.60995,                 0.3603,                 0.4306,                0.14909,                0.58861,                0.35153,                 0.4438,                0.13762,                 2.1187,                 2.8334,                 2.4573,                 2.9951,              0.0011554,              0.0011554,              0.0011554
                    158,                 2.5106,                 3.0304,                 3.0131,                 3.2512,                0.60995,                 0.3603,                 0.4306,                0.14909,                0.58861,                0.35153,                 0.4438,                0.13762,                 2.1187,                 2.8334,                 2.4573,                 2.9951,              0.0011521,              0.0011521,              0.0011521
                    159,                  2.462,                  3.202,                 3.1018,                   3.23,                0.60995,                 0.3603,                 0.4306,                0.14909,                0.58861,                0.35153,                 0.4438,                0.13762,                 2.1187,                 2.8334,                 2.4573,                 2.9951,              0.0011488,              0.0011488,              0.0011488
                    160,                 2.5356,                 3.4135,                 3.0554,                 3.1923,                0.74733,                 0.3513,                0.44013,                0.15924,                0.68342,                0.32024,                0.43007,                0.14755,                 2.0921,                 2.7526,                 2.4577,                 2.9457,              0.0011455,              0.0011455,              0.0011455
                    161,                 2.4973,                 2.8721,                 3.0638,                 3.1956,                0.74733,                 0.3513,                0.44013,                0.15924,                0.68342,                0.32024,                0.43007,                0.14755,                 2.0921,                 2.7526,                 2.4577,                 2.9457,              0.0011422,              0.0011422,              0.0011422
                    162,                 2.4193,                 2.7673,                 2.9367,                 3.0911,                0.74733,                 0.3513,                0.44013,                0.15924,                0.68342,                0.32024,                0.43007,                0.14755,                 2.0921,                 2.7526,                 2.4577,                 2.9457,              0.0011389,              0.0011389,              0.0011389
                    163,                 2.5886,                 2.8485,                 3.0153,                 3.2168,                0.57375,                0.36933,                0.42736,                0.17501,                0.65107,                0.33293,                0.44239,                0.15654,                 2.0809,                 2.7815,                 2.4143,                 2.9029,              0.0011356,              0.0011356,              0.0011356
                    164,                 2.4978,                 2.9173,                 2.9434,                  3.177,                0.57375,                0.36933,                0.42736,                0.17501,                0.65107,                0.33293,                0.44239,                0.15654,                 2.0809,                 2.7815,                 2.4143,                 2.9029,              0.0011323,              0.0011323,              0.0011323
                    165,                 2.4201,                 2.8366,                 2.8093,                  3.103,                0.57375,                0.36933,                0.42736,                0.17501,                0.65107,                0.33293,                0.44239,                0.15654,                 2.0809,                 2.7815,                 2.4143,                 2.9029,               0.001129,               0.001129,               0.001129
                    166,                 2.4285,                 2.7791,                 2.7602,                  3.102,                0.59784,                0.40169,                 0.4528,                0.19959,                0.60835,                 0.4071,                0.47713,                0.18989,                 2.0517,                 2.8005,                 2.3443,                 2.8821,              0.0011257,              0.0011257,              0.0011257
                    167,                 2.5617,                 2.9038,                 3.0138,                 3.1696,                0.59784,                0.40169,                 0.4528,                0.19959,                0.60835,                 0.4071,                0.47713,                0.18989,                 2.0517,                 2.8005,                 2.3443,                 2.8821,              0.0011224,              0.0011224,              0.0011224
                    168,                 2.4758,                 3.0027,                 2.7966,                 3.1164,                0.59784,                0.40169,                 0.4528,                0.19959,                0.60835,                 0.4071,                0.47713,                0.18989,                 2.0517,                 2.8005,                 2.3443,                 2.8821,              0.0011191,              0.0011191,              0.0011191
                    169,                 2.4111,                 3.0309,                 2.8035,                 3.0726,                0.46891,                0.48379,                0.53664,                0.22734,                 0.4134,                0.48507,                 0.5093,                0.22174,                 2.0201,                 2.8594,                 2.3198,                 2.8742,              0.0011158,              0.0011158,              0.0011158
                    170,                 2.3614,                 2.9064,                 2.8171,                 3.0804,                0.46891,                0.48379,                0.53664,                0.22734,                 0.4134,                0.48507,                 0.5093,                0.22174,                 2.0201,                 2.8594,                 2.3198,                 2.8742,              0.0011125,              0.0011125,              0.0011125
                    171,                 2.3441,                 2.7654,                 2.6955,                  3.065,                0.46891,                0.48379,                0.53664,                0.22734,                 0.4134,                0.48507,                 0.5093,                0.22174,                 2.0201,                 2.8594,                 2.3198,                 2.8742,              0.0011092,              0.0011092,              0.0011092
                    172,                  2.463,                 3.1952,                 2.9339,                  3.128,                 0.3739,                0.52404,                0.50491,                 0.2124,                0.36493,                0.50751,                0.50656,                0.23968,                 2.0254,                 2.8418,                 2.4044,                 2.8816,              0.0011059,              0.0011059,              0.0011059
                    173,                 2.4663,                 2.8095,                  2.987,                 3.1455,                 0.3739,                0.52404,                0.50491,                 0.2124,                0.36493,                0.50751,                0.50656,                0.23968,                 2.0254,                 2.8418,                 2.4044,                 2.8816,              0.0011026,              0.0011026,              0.0011026
                    174,                 2.3509,                 2.8793,                 2.8886,                 3.1578,                 0.3739,                0.52404,                0.50491,                 0.2124,                0.36493,                0.50751,                0.50656,                0.23968,                 2.0254,                 2.8418,                 2.4044,                 2.8816,              0.0010993,              0.0010993,              0.0010993
                    175,                 2.3223,                 2.9996,                 2.6122,                 3.0046,                0.43041,                0.53544,                0.50629,                0.21515,                0.43614,                0.55304,                0.52277,                0.25041,                 2.0292,                 2.7799,                 2.3883,                 2.8833,               0.001096,               0.001096,               0.001096
                    176,                 2.4642,                 2.9713,                  2.723,                  3.074,                0.43041,                0.53544,                0.50629,                0.21515,                0.43614,                0.55304,                0.52277,                0.25041,                 2.0292,                 2.7799,                 2.3883,                 2.8833,              0.0010927,              0.0010927,              0.0010927
                    177,                 2.4755,                 2.9081,                 2.8892,                 3.1434,                0.43041,                0.53544,                0.50629,                0.21515,                0.43614,                0.55304,                0.52277,                0.25041,                 2.0292,                 2.7799,                 2.3883,                 2.8833,              0.0010894,              0.0010894,              0.0010894
                    178,                 2.3687,                 2.8121,                 2.6872,                 3.1243,                0.53835,                 0.5097,                0.53406,                0.23065,                 0.5517,                0.54685,                0.56897,                0.27329,                 2.0117,                 2.7458,                 2.3702,                 2.8655,              0.0010861,              0.0010861,              0.0010861
                    179,                 2.3561,                 2.7046,                 2.7912,                 3.0134,                0.53835,                 0.5097,                0.53406,                0.23065,                 0.5517,                0.54685,                0.56897,                0.27329,                 2.0117,                 2.7458,                 2.3702,                 2.8655,              0.0010828,              0.0010828,              0.0010828
                    180,                 2.3915,                 2.6187,                 3.2248,                 3.2126,                0.53835,                 0.5097,                0.53406,                0.23065,                 0.5517,                0.54685,                0.56897,                0.27329,                 2.0117,                 2.7458,                 2.3702,                 2.8655,              0.0010795,              0.0010795,              0.0010795
                    181,                  2.425,                 2.8723,                 2.8053,                 3.0802,                0.64964,                0.52039,                0.54993,                0.23897,                0.68519,                 0.5385,                 0.5863,                0.26735,                 1.9792,                 2.8254,                 2.3722,                  2.863,              0.0010762,              0.0010762,              0.0010762
                    182,                 2.3293,                 3.0274,                 2.6526,                  3.033,                0.64964,                0.52039,                0.54993,                0.23897,                0.68519,                 0.5385,                 0.5863,                0.26735,                 1.9792,                 2.8254,                 2.3722,                  2.863,              0.0010729,              0.0010729,              0.0010729
                    183,                 2.3579,                 2.7673,                  2.678,                 3.0529,                0.64964,                0.52039,                0.54993,                0.23897,                0.68519,                 0.5385,                 0.5863,                0.26735,                 1.9792,                 2.8254,                 2.3722,                  2.863,              0.0010696,              0.0010696,              0.0010696
                    184,                 2.4471,                 2.8786,                 2.6074,                 3.1648,                0.57789,                0.51016,                0.50137,                0.21025,                0.61703,                 0.5436,                0.55071,                0.24499,                 2.0068,                 2.7779,                 2.3864,                 2.8926,              0.0010663,              0.0010663,              0.0010663
                    185,                 2.3195,                 2.8538,                 2.5723,                 3.0839,                0.57789,                0.51016,                0.50137,                0.21025,                0.61703,                 0.5436,                0.55071,                0.24499,                 2.0068,                 2.7779,                 2.3864,                 2.8926,               0.001063,               0.001063,               0.001063
                    186,                 2.5569,                 3.0694,                 2.9906,                 3.1555,                0.49935,                0.47595,                0.47691,                0.20535,                0.55155,                 0.5278,                0.53332,                0.23977,                 1.9972,                 2.7721,                  2.424,                 2.8887,              0.0010597,              0.0010597,              0.0010597
                    187,                 2.4354,                 2.7851,                 2.9498,                  3.145,                0.49935,                0.47595,                0.47691,                0.20535,                0.55155,                 0.5278,                0.53332,                0.23977,                 1.9972,                 2.7721,                  2.424,                 2.8887,              0.0010564,              0.0010564,              0.0010564
                    188,                  2.499,                 3.1027,                 2.7176,                 3.2318,                0.49935,                0.47595,                0.47691,                0.20535,                0.55155,                 0.5278,                0.53332,                0.23977,                 1.9972,                 2.7721,                  2.424,                 2.8887,              0.0010531,              0.0010531,              0.0010531
                    189,                 2.3344,                 2.8576,                 2.6675,                 3.0689,                 0.4744,                0.49267,                0.47008,                0.20818,                0.50256,                0.51861,                0.50558,                 0.2429,                 1.9872,                  2.763,                 2.3836,                 2.8845,              0.0010498,              0.0010498,              0.0010498
                    190,                 2.4572,                 2.9302,                 2.7669,                 3.1363,                 0.4744,                0.49267,                0.47008,                0.20818,                0.50256,                0.51861,                0.50558,                 0.2429,                 1.9872,                  2.763,                 2.3836,                 2.8845,              0.0010465,              0.0010465,              0.0010465
                    191,                 2.4694,                  3.172,                 2.8142,                  3.211,                 0.4744,                0.49267,                0.47008,                0.20818,                0.50256,                0.51861,                0.50558,                 0.2429,                 1.9872,                  2.763,                 2.3836,                 2.8845,              0.0010432,              0.0010432,              0.0010432
                    192,                 2.3897,                 2.7287,                 2.6588,                 3.0222,                0.58047,                0.47148,                0.49052,                0.21237,                0.57248,                0.50682,                0.50756,                0.24636,                 1.9735,                 2.8192,                 2.3055,                 2.8584,              0.0010399,              0.0010399,              0.0010399
                    193,                 2.2111,                 2.8667,                 2.5653,                 2.9886,                0.58047,                0.47148,                0.49052,                0.21237,                0.57248,                0.50682,                0.50756,                0.24636,                 1.9735,                 2.8192,                 2.3055,                 2.8584,              0.0010366,              0.0010366,              0.0010366
                    194,                 2.4314,                 2.9529,                 2.8437,                 3.1106,                0.58047,                0.47148,                0.49052,                0.21237,                0.57248,                0.50682,                0.50756,                0.24636,                 1.9735,                 2.8192,                 2.3055,                 2.8584,              0.0010333,              0.0010333,              0.0010333
                    195,                 2.4102,                 3.0155,                 2.6453,                 3.0989,                0.51418,                0.53862,                0.50611,                0.22885,                0.53781,                0.54243,                 0.5226,                0.26082,                 1.9593,                 2.8233,                 2.2716,                 2.8438,                0.00103,                0.00103,                0.00103
                    196,                 2.4504,                 2.7919,                 2.7659,                 3.1157,                0.51418,                0.53862,                0.50611,                0.22885,                0.53781,                0.54243,                 0.5226,                0.26082,                 1.9593,                 2.8233,                 2.2716,                 2.8438,              0.0010267,              0.0010267,              0.0010267
                    197,                 2.2334,                 2.6692,                 2.5691,                 3.0355,                0.51418,                0.53862,                0.50611,                0.22885,                0.53781,                0.54243,                 0.5226,                0.26082,                 1.9593,                 2.8233,                 2.2716,                 2.8438,              0.0010234,              0.0010234,              0.0010234
                    198,                 2.3347,                 2.6073,                 2.7474,                 3.0603,                0.53767,                0.52344,                0.49872,                0.21519,                0.51661,                0.57814,                0.52176,                 0.2646,                 1.9822,                  2.787,                  2.247,                 2.8528,              0.0010201,              0.0010201,              0.0010201
